date,interest,keyword
2018-07-01,8,Call of Duty
2018-08-01,10,Call of Duty
2018-09-01,10,Call of Duty
2018-10-01,16,Call of Duty
2018-11-01,12,Call of Duty
2018-12-01,12,Call of Duty
2019-01-01,10,Call of Duty
2019-02-01,7,Call of Duty
2019-03-01,9,Call of Duty
2019-04-01,8,Call of Duty
2019-05-01,12,Call of Duty
2019-06-01,11,Call of Duty
2019-07-01,9,Call of Duty
2019-08-01,12,Call of Duty
2019-09-01,16,Call of Duty
2019-10-01,38,Call of Duty
2019-11-01,27,Call of Duty
2019-12-01,21,Call of Duty
2020-01-01,16,Call of Duty
2020-02-01,14,Call of Duty
2020-03-01,30,Call of Duty
2020-04-01,33,Call of Duty
2020-05-01,27,Call of Duty
2020-06-01,24,Call of Duty
2020-07-01,18,Call of Duty
2020-08-01,22,Call of Duty
2020-09-01,20,Call of Duty
2020-10-01,19,Call of Duty
2020-11-01,26,Call of Duty
2020-12-01,22,Call of Duty
2021-01-01,17,Call of Duty
2021-02-01,16,Call of Duty
2021-03-01,14,Call of Duty
2021-04-01,16,Call of Duty
2021-05-01,14,Call of Duty
2021-06-01,12,Call of Duty
2021-07-01,14,Call of Duty
2021-08-01,15,Call of Duty
2021-09-01,12,Call of Duty
2021-10-01,12,Call of Duty
2021-11-01,17,Call of Duty
2021-12-01,14,Call of Duty
2022-01-01,13,Call of Duty
2022-02-01,12,Call of Duty
2022-03-01,12,Call of Duty
2022-04-01,12,Call of Duty
2022-05-01,11,Call of Duty
2022-06-01,13,Call of Duty
2022-07-01,11,Call of Duty
2022-08-01,12,Call of Duty
2022-09-01,15,Call of Duty
2022-10-01,19,Call of Duty
2022-11-01,23,Call of Duty
2022-12-01,17,Call of Duty
2023-01-01,13,Call of Duty
2023-02-01,12,Call of Duty
2023-03-01,11,Call of Duty
2023-04-01,11,Call of Duty
2023-05-01,10,Call of Duty
2023-06-01,11,Call of Duty
2023-07-01,14,Call of Duty
2023-08-01,14,Call of Duty
2023-09-01,12,Call of Duty
2023-10-01,15,Call of Duty
2023-11-01,19,Call of Duty
2023-12-01,16,Call of Duty
2024-01-01,13,Call of Duty
2024-02-01,14,Call of Duty
2024-03-01,15,Call of Duty
2024-04-01,12,Call of Duty
2024-05-01,11,Call of Duty
2024-06-01,14,Call of Duty
2024-07-01,12,Call of Duty
2024-08-01,14,Call of Duty
2024-09-01,12,Call of Duty
2024-10-01,17,Call of Duty
2024-11-01,18,Call of Duty
2024-12-01,15,Call of Duty
2025-01-01,12,Call of Duty
2025-02-01,11,Call of Duty
2025-03-01,10,Call of Duty
2025-04-01,10,Call of Duty
2025-05-01,10,Call of Duty
2025-06-01,11,Call of Duty
2025-07-01,11,Call of Duty
2025-08-01,13,Call of Duty
2025-09-01,11,Call of Duty
2025-10-01,13,Call of Duty
2025-11-01,15,Call of Duty
2025-12-01,16,Call of Duty
2026-01-01,12,Call of Duty
2026-02-01,11,Call of Duty
2026-03-01,12,Call of Duty
2026-04-01,12,Call of Duty
2026-05-01,10,Call of Duty
2004-01-01,2,Warzone
2004-02-01,2,Warzone
2004-03-01,1,Warzone
2004-04-01,2,Warzone
2004-05-01,2,Warzone
2004-06-01,2,Warzone
2004-07-01,2,Warzone
2004-08-01,2,Warzone
2004-09-01,2,Warzone
2004-10-01,1,Warzone
2004-11-01,1,Warzone
2004-12-01,2,Warzone
2005-01-01,1,Warzone
2005-02-01,1,Warzone
2005-03-01,1,Warzone
2005-04-01,1,Warzone
2005-05-01,1,Warzone
2005-06-01,1,Warzone
2005-07-01,1,Warzone
2005-08-01,1,Warzone
